Time [s],Force Reaction (X) [N],Force Reaction (Y) [N],Force Reaction (Z) [N],Force Reaction (Total) [N],RPM,Feed_mm_per_sec,DOC_mm,sequence_id,Tool_Life_HSS_min
0.0,-1485.2,3158.4,-642.1,3574.6,1000,2,1,0,40.190691013641214
0.05,-1508.6,3204.7,-651.3,3632.8,1000,2,1,0,40.190691013641214
0.1,-1534.9,3261.5,-662.8,3710.9,1000,2,1,0,40.190691013641214
0.15,-1561.3,3318.6,-674.2,3788.4,1000,2,1,0,40.190691013641214
0.2,-1587.6,3374.8,-685.1,3865.7,1000,2,1,0,40.190691013641214
0.25,-1608.4,3421.3,-696.7,3928.9,1000,2,1,0,40.190691013641214
0.3,-1622.9,3462.8,-705.9,3986.3,1000,2,1,0,40.190691013641214
0.35,-1609.5,3426.7,-699.8,3942.1,1000,2,1,0,40.190691013641214
0.4,-1582.4,3369.2,-687.3,3871.4,1000,2,1,0,40.190691013641214
0.45,-1554.6,3312.1,-675.9,3796.2,1000,2,1,0,40.190691013641214
0.5,-1528.3,3260.5,-664.1,3728.5,1000,2,1,0,40.190691013641214
0.55,-1507.1,3218.7,-652.8,3673.4,1000,2,1,0,40.190691013641214
0.6,-1491.9,3186.2,-642.2,3631.8,1000,2,1,0,40.190691013641214
0.65,-1506.8,3217.9,-650.7,3670.9,1000,2,1,0,40.190691013641214
0.7,-1538.5,3284.1,-666.9,3751.6,1000,2,1,0,40.190691013641214
0.75,-1569.7,3346.8,-681.8,3829.4,1000,2,1,0,40.190691013641214
0.8,-1602.8,3412.5,-696.6,3916.7,1000,2,1,0,40.190691013641214
0.85,-1626.9,3464.9,-709.4,3985.3,1000,2,1,0,40.190691013641214
0.9,-1647.8,3513.6,-723.8,4051.2,1000,2,1,0,40.190691013641214
0.95,-1629.6,3471.2,-716.5,4000.9,1000,2,1,0,40.190691013641214
1.0,-1597.5,3404.6,-702.1,3914.4,1000,2,1,0,40.190691013641214
1.05,-1567.4,3348.9,-689.3,3840.7,1000,2,1,0,40.190691013641214
1.1,-1541.3,3297.5,-676.6,3772.9,1000,2,1,0,40.190691013641214
1.15,-1517.2,3251.8,-664.8,3717.2,1000,2,1,0,40.190691013641214
1.2,-1502.8,3218.3,-653.9,3674.8,1000,2,1,0,40.190691013641214
1.25,-1515.6,3245.7,-661.1,3707.9,1000,2,1,0,40.190691013641214
1.3,-1549.9,3313.6,-677.2,3789.5,1000,2,1,0,40.190691013641214
1.35,-1580.7,3374.4,-692.8,3866.3,1000,2,1,0,40.190691013641214
1.4,-1614.2,3442.1,-708.3,3954.9,1000,2,1,0,40.190691013641214
1.45,-1636.8,3492.8,-721.5,4022.6,1000,2,1,0,40.190691013641214
1.5,-1659.7,3548.6,-736.2,4101.8,1000,2,1,0,40.190691013641214
1.55,-1641.9,3506.4,-728.7,4049.7,1000,2,1,0,40.190691013641214
1.6,-1608.6,3436.8,-713.1,3955.6,1000,2,1,0,40.190691013641214
1.65,-1579.4,3381.7,-700.6,3882.8,1000,2,1,0,40.190691013641214
1.7,-1552.3,3329.4,-687.4,3811.3,1000,2,1,0,40.190691013641214
1.75,-1529.6,3286.7,-675.2,3757.6,1000,2,1,0,40.190691013641214
1.8,-1513.7,3251.1,-664.6,3713.5,1000,2,1,0,40.190691013641214
1.85,-1527.9,3279.4,-671.8,3747.6,1000,2,1,0,40.190691013641214
1.9,-1561.6,3346.5,-687.6,3828.9,1000,2,1,0,40.190691013641214
1.95,-1592.8,3409.7,-703.1,3907.6,1000,2,1,0,40.190691013641214
2.0,-1626.5,3476.4,-719.2,3996.4,1000,2,1,0,40.190691013641214
2.05,-1651.3,3529.8,-733.9,4068.5,1000,2,1,0,40.190691013641214
2.1,-1673.4,3582.6,-748.4,4146.9,1000,2,1,0,40.190691013641214
2.15,-1654.6,3539.7,-740.8,4094.1,1000,2,1,0,40.190691013641214
2.2,-1620.8,3471.5,-725.6,3998.4,1000,2,1,0,40.190691013641214
2.25,-1590.4,3414.9,-712.1,3922.7,1000,2,1,0,40.190691013641214
2.3,-1563.1,3362.7,-698.5,3851.9,1000,2,1,0,40.190691013641214
2.35,-1540.2,3318.4,-686.2,3796.5,1000,2,1,0,40.190691013641214
2.4,-1525.4,3284.9,-675.7,3754.8,1000,2,1,0,40.190691013641214
2.45,-1538.6,3312.8,-682.4,3787.6,1000,2,1,0,40.190691013641214
2.5,-1572.7,3379.6,-698.1,3869.2,1000,2,1,0,40.190691013641214
2.55,-1604.1,3441.2,-713.7,3947.9,1000,2,1,0,40.190691013641214
2.6,-1637.6,3508.3,-729.4,4038.7,1000,2,1,0,40.190691013641214
2.65,-1662.9,3562.6,-744.8,4111.2,1000,2,1,0,40.190691013641214
2.7,-1686.1,3618.9,-760.3,4192.5,1000,2,1,0,40.190691013641214
2.75,-1668.3,3575.4,-752.6,4137.1,1000,2,1,0,40.190691013641214
2.8,-1633.9,3505.8,-737.1,4041.8,1000,2,1,0,40.190691013641214
2.85,-1603.2,3449.3,-723.4,3966.9,1000,2,1,0,40.190691013641214
2.9,-1576.8,3398.4,-710.1,3898.5,1000,2,1,0,40.190691013641214
2.95,-1553.7,3355.9,-697.9,3844.3,1000,2,1,0,40.190691013641214
3.0,-1537.9,3321.6,-687.2,3802.9,1000,2,1,0,40.190691013641214
3.05,-1551.4,3349.2,-694.1,3835.8,1000,2,1,0,40.190691013641214
3.1,-1585.6,3416.8,-709.8,3917.6,1000,2,1,0,40.190691013641214
3.15,-1617.3,3479.1,-725.3,3996.3,1000,2,1,0,40.190691013641214
3.2,-1651.2,3546.3,-741.1,4087.2,1000,2,1,0,40.190691013641214
3.25,-1676.4,3600.9,-756.7,4159.6,1000,2,1,0,40.190691013641214
3.3,-1699.1,3656.4,-772.2,4240.8,1000,2,1,0,40.190691013641214
3.35,-1681.5,3613.2,-764.5,4185.7,1000,2,1,0,40.190691013641214
3.4,-1646.7,3543.4,-749.1,4090.2,1000,2,1,0,40.190691013641214
3.45,-1616.1,3487.3,-735.6,4015.6,1000,2,1,0,40.190691013641214
3.5,-1589.8,3435.1,-722.4,3947.5,1000,2,1,0,40.190691013641214
3.55,-1566.9,3392.8,-710.1,3892.3,1000,2,1,0,40.190691013641214
3.6,-1551.2,3359.6,-699.6,3850.9,1000,2,1,0,40.190691013641214
3.65,-1564.4,3387.4,-706.4,3883.7,1000,2,1,0,40.190691013641214
3.7,-1598.6,3454.9,-722.1,3965.5,1000,2,1,0,40.190691013641214
3.75,-1630.4,3517.6,-737.8,4044.3,1000,2,1,0,40.190691013641214
3.8,-1664.5,3584.9,-753.6,4135.1,1000,2,1,0,40.190691013641214
3.85,-1689.8,3639.2,-769.1,4207.6,1000,2,1,0,40.190691013641214
3.9,-1712.6,3695.8,-784.7,4289.8,1000,2,1,0,40.190691013641214
3.95,-1695.1,3652.7,-777.1,4234.9,1000,2,1,0,40.190691013641214
4.0,-1660.2,3583.4,-761.6,4139.3,1000,2,1,0,40.190691013641214
4.05,-1629.6,3527.6,-748.1,4064.6,1000,2,1,0,40.190691013641214
4.1,-1603.4,3475.2,-734.8,3996.1,1000,2,1,0,40.190691013641214
4.15,-1580.7,3432.8,-722.6,3941.2,1000,2,1,0,40.190691013641214
4.2,-1565.2,3399.7,-712.1,3899.9,1000,2,1,0,40.190691013641214
4.25,-1578.6,3427.5,-719.1,3932.8,1000,2,1,0,40.190691013641214
4.3,-1612.8,3495.2,-734.8,4014.6,1000,2,1,0,40.190691013641214
4.35,-1644.5,3557.4,-750.4,4093.4,1000,2,1,0,40.190691013641214
4.4,-1678.6,3624.8,-766.2,4184.2,1000,2,1,0,40.190691013641214
4.45,-1703.8,3679.1,-781.8,4256.7,1000,2,1,0,40.190691013641214
4.5,-1726.9,3735.7,-797.4,4338.9,1000,2,1,0,40.190691013641214
4.55,-1709.4,3692.6,-789.7,4284.1,1000,2,1,0,40.190691013641214
4.6,-1674.6,3623.2,-774.2,4188.6,1000,2,1,0,40.190691013641214
4.65,-1644.1,3567.3,-760.7,4113.9,1000,2,1,0,40.190691013641214
4.7,-1617.8,3515.1,-747.5,4045.4,1000,2,1,0,40.190691013641214
4.75,-1594.9,3472.8,-735.3,3990.5,1000,2,1,0,40.190691013641214
4.8,-1579.1,3439.7,-724.8,3949.1,1000,2,1,0,40.190691013641214
