sequence_id,RPM,Feed_mm_per_sec,DOC_mm,Tool_Life_HSS_min,Max_Force_X,Max_Force_Y,Max_Force_Z
0,1000,2,1,40.190691013641214,-1485.2,3735.7,-642.1
1,3000,2,1,39.317242228563686,-699.3,2516.4,-285.5
2,5000,2,1,38.91760207325812,-370.5,1567.5,-169.9
3,1000,2,3,31.2167426908534,-1654.7,4322.0,-816.9
4,3000,2,3,30.53832126316137,-1230.5,3402.8,-609.5
5,5000,2,3,30.227914460430053,-846.3,2534.4,-419.7
6,1000,2,5,27.75635109028612,-2079.7,5194.1,-1060.6
7,3000,2,5,27.153133018475238,-1669.1,4266.8,-933.6
8,5000,2,5,26.877134965675573,-1307.9,3558.1,-663.8
9,1000,4,1,33.79620799994058,-1612.4,4440.8,-646.8
10,3000,4,1,33.06172804766116,-1139.3,3563.6,-529.7
11,5000,4,1,32.72567207367328,-778.9,2518.2,-317.5
12,1000,4,3,26.25004702463622,-1446.5,4342.9,-798.6
13,3000,4,3,25.67956487805868,-778.9,2518.2,-317.5
14,5000,4,3,25.41854491037155,-902.0,2755.6,-464.9
15,1000,4,5,23.34021613234513,-2440.8,6155.4,-1309.9
16,3000,4,5,22.832972218143095,-2112.2,5346.4,-1154.5
17,5000,4,5,22.600886444926857,-1590.6,4358.5,-948.5
18,1000,6,1,30.53832126316137,-1989.3,5347.9,-788.3
19,3000,6,1,29.87464370667043,-1612.1,4326.9,-668.0
20,5000,6,1,29.570982855249923,-1231.2,3638.1,-509.7
21,1000,6,3,23.719595086313937,-2272.1,6278.2,-1070.7
22,3000,6,3,23.204106275642825,-1892.9,5393.0,-1022.3
23,5000,6,3,22.968248109858564,-1533.8,4552.8,-873.9
24,1000,6,5,21.090266061873887,-2662.4,7221.4,-1539.5
25,3000,6,5,20.631919444682023,-2248.1,6395.3,-1253.5
26,5000,6,5,20.42220627499449,-1836.5,5467.2,-1048.2
